Country Name,Country Code,Year,Value
Arab World,ARB,1968,25760683041.0857
Arab World,ARB,1969,28434203615.4829
Arab World,ARB,1970,31385499664.0672
Arab World,ARB,1971,36426909888.3928
Arab World,ARB,1972,43316056615.4562
Arab World,ARB,1973,55018394945.5825
Arab World,ARB,1974,105145803084.377
Arab World,ARB,1975,116337021938.341
Arab World,ARB,1976,144846175400.488
Arab World,ARB,1977,167308327683.593
Arab World,ARB,1978,183555544342.189
Arab World,ARB,1979,248646206367.003
Arab World,ARB,1980,338177454717.54
Arab World,ARB,1981,348592795413.116
Arab World,ARB,1982,324328753765.3
Arab World,ARB,1983,303962539723.08
Arab World,ARB,1984,307940771858.542
Arab World,ARB,1985,303893618415.542
Arab World,ARB,1986,289029150639.442
Arab World,ARB,1987,312681678329.933
Arab World,ARB,1988,307503035642.516
Arab World,ARB,1989,322325140494.725
Arab World,ARB,1990,446877161735.16
Arab World,ARB,1991,439779177865.334
Arab World,ARB,1992,471163515479.771
Arab World,ARB,1993,476513630620.727
Arab World,ARB,1994,487526906267.398
Arab World,ARB,1995,523759898278.581
